Pinot Noir,True
Chardonnay,True
Cabernet Sauvignon,True
Red Blend,True
Bordeaux-style Red Blend,True
Riesling,True
Sauvignon Blanc,True
Syrah,True
Rosé,True
Merlot,True
Nebbiolo,True
Zinfandel,True
Sangiovese,True
Malbec,True
Portuguese Red,True
White Blend,True
Sparkling Blend,True
Tempranillo,True
Rhône-style Red Blend,True
Pinot Gris,True
Champagne Blend,True
Cabernet Franc,True
Grüner Veltliner,True
Portuguese White,True
Bordeaux-style White Blend,True
Pinot Grigio,True
Gamay,True
Gewürztraminer,True
Viognier,True
Shiraz,True
Petite Sirah,True
Sangiovese Grosso,True
Barbera,True
Glera,True
Port,True
Grenache,True
"Corvina, Rondinella, Molinara",True
Chenin Blanc,True
Tempranillo Blend,True
Carmenère,True
Albariño,True
Pinot Blanc,True
Rhône-style White Blend,True
Nero d'Avola,True
Aglianico,True
Moscato,True
Garnacha,True
Sauvignon,True
Verdejo,True
Melon,True
Garganega,True
Petit Verdot,True
Meritage,True
Torrontés,True
Prosecco,True
Blaufränkisch,True
Vermentino,True
Mourvèdre,True
Primitivo,True
Montepulciano,True
Zweigelt,True
Touriga Nacional,True
